chunk_config,sentences_per_chunk,overlap,n_chunks,method,k,hybrid_weight,rerank_weight,n_cases,hit_at_1,hit_at_k,recall_at_k,mrr,avg_latency_ms
"2-sentence, 1-sentence overlap",2,1,132,embedding,2,0.2,0.3,18,0.6666666666666666,0.7777777777777778,0.6944444444444444,0.7777777777777778,16.99242822228876
"2-sentence, 1-sentence overlap",2,1,132,embedding,3,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.8611111111111112,0.7777777777777778,16.02716205545423
"2-sentence, 1-sentence overlap",2,1,132,embedding,5,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.7777777777777778,18.36027311103155
"2-sentence, 1-sentence overlap",2,1,132,hybrid,1,0.2,0.3,18,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.787037037037037,15.501402833352687
"2-sentence, 1-sentence overlap",2,1,132,hybrid,2,0.2,0.3,18,0.6666666666666666,0.8333333333333334,0.75,0.787037037037037,14.324243055549838
"2-sentence, 1-sentence overlap",2,1,132,hybrid,3,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.787037037037037,14.94037733335871
"2-sentence, 1-sentence overlap",2,1,132,hybrid,5,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.787037037037037,16.35177550002077
"2-sentence, 1-sentence overlap",2,1,132,hybrid_reranked,1,0.2,0.3,18,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.787037037037037,15.595097222154031
"2-sentence, 1-sentence overlap",2,1,132,hybrid_reranked,2,0.2,0.3,18,0.6666666666666666,0.8333333333333334,0.7777777777777778,0.787037037037037,15.758277666767148
"2-sentence, 1-sentence overlap",2,1,132,hybrid_reranked,3,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.787037037037037,15.832999944500948
"2-sentence, 1-sentence overlap",2,1,132,hybrid_reranked,5,0.2,0.3,18,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.787037037037037,14.66031927773454
"3-sentence, 1-sentence overlap",3,1,76,bm25,1,0.1,0.3,18,0.5,0.5,0.4444444444444444,0.6749999999999999,0.4855694445116872
"3-sentence, 1-sentence overlap",3,1,76,bm25,2,0.1,0.3,18,0.5,0.7777777777777778,0.6944444444444444,0.6749999999999999,0.5004006110943414
"3-sentence, 1-sentence overlap",3,1,76,bm25,3,0.1,0.3,18,0.5,0.7777777777777778,0.7222222222222222,0.6749999999999999,0.46123616655475214
"3-sentence, 1-sentence overlap",3,1,76,bm25,5,0.1,0.3,18,0.5,0.9444444444444444,0.8888888888888888,0.6749999999999999,0.4740971664634546
"3-sentence, 1-sentence overlap",3,1,76,embedding,1,0.1,0.3,18,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.8333333333333334,16.474821666633943
"3-sentence, 1-sentence overlap",3,1,76,embedding,2,0.1,0.3,18,0.7222222222222222,0.9444444444444444,0.8611111111111112,0.8333333333333334,15.926999944541523
"3-sentence, 1-sentence overlap",3,1,76,embedding,3,0.1,0.3,18,0.7222222222222222,0.9444444444444444,0.8611111111111112,0.8333333333333334,18.091338000027058
"3-sentence, 1-sentence overlap",3,1,76,embedding,5,0.1,0.3,18,0.7222222222222222,0.9444444444444444,0.8888888888888888,0.8333333333333334,16.508578666717867
"3-sentence, 1-sentence overlap",3,1,76,hybrid,1,0.1,0.3,18,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.8166666666666667,15.501481555576094
"3-sentence, 1-sentence overlap",3,1,76,hybrid,2,0.1,0.3,18,0.6666666666666666,0.9444444444444444,0.8611111111111112,0.8166666666666667,24.597301000034754
"3-sentence, 1-sentence overlap",3,1,76,hybrid,3,0.1,0.3,18,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.8166666666666667,16.909557889044258
"3-sentence, 1-sentence overlap",3,1,76,hybrid,5,0.1,0.3,18,0.6666666666666666,1.0,0.9722222222222222,0.8166666666666667,14.435280222237957
"3-sentence, 1-sentence overlap",3,1,76,hybrid_reranked,1,0.1,0.3,18,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.8333333333333334,16.461256833331895
"3-sentence, 1-sentence overlap",3,1,76,hybrid_reranked,2,0.1,0.3,18,0.7222222222222222,0.9444444444444444,0.8611111111111112,0.8333333333333334,16.272898111007333
"3-sentence, 1-sentence overlap",3,1,76,hybrid_reranked,3,0.1,0.3,18,0.7222222222222222,0.9444444444444444,0.8888888888888888,0.8333333333333334,16.156650388943994
"3-sentence, 1-sentence overlap",3,1,76,hybrid_reranked,5,0.1,0.3,18,0.7222222222222222,0.9444444444444444,0.8888888888888888,0.8333333333333334,16.301830944384065
